Mã,ROA (%),ROE (%),ROS (%)
APT,-123.3895220696905,24.268285489638934,-58.86771130838638
ARM,0.8958037599620013,4.764329637532375,0.9675475552946687
ART,0.1381107988572683,0.13957129185847533,1.0364288104108288
ASA,0.12125609565757892,0.12143623367281207,0.10709826297901945
ASG,2.9195964428018395,4.408556200776593,8.47090731190205
ASM,3.251181111719999,8.328699513134039,4.5698596084946885
ASP,1.7817135594771116,6.30653907343867,1.1750024531145093
AST,-8.247886385044696,-9.54109886546646,-14.340069733183908
ATA,-19.32743990795876,1.057928007931301,-564.356323
ATB,-5.350612871441702,-8.957628432308674,-18189.99642170921
ATG,-7.064030393850304,-10.601669030398885,-inf
ATP,,,
ATS,0.25429197104719364,0.32498452163384506,0.3680969086998117
AVC,12.42339546985965,14.015461038571097,35.42801209342175
AVF,,,
AVG,,,
B82,,,
BAB,0.5015761110734654,7.028017421243672,
BAF,0.8735848384170918,8.102499393046141,0.3567507669920917
BAL,-1.597299131453045,-1.8029714533598515,-1.0804889320879874
BAX,16.761017305797964,52.072992276866216,46.76854543866391
BBC,6.261179546200159,8.81760089129246,7.928759269797971
BBH,5.918033925746947,7.079915016548,3.839009351605318
BBM,7.235380480919732,10.655256383318665,4.988176688405299
BBS,1.7473354387389635,6.324242645739646,1.3746809995986782
BBT,16.190642902615934,20.656969649240825,17.681456302671076
BCA,0.2889211341841301,0.9145052463684485,0.10284506370948535
BCB,6.270243821144354,28.68896129152953,2.987844708999927
BCC,3.51126509602375,6.850628560674239,3.371602884156287
BCE,3.5258098990341136,9.248171164387083,7.823122268698568
BCF,23.612960669893752,33.846182279506685,15.715467489640345
BCG,1.1037871506417574,8.99060029533291,14.362646442279042
BCH,6.5622220440560834,10.310248764898368,12.315252821803158
BCM,4.508602297852181,12.71862912344519,33.606436213427514
BCO,,,
BCP,-16.629095109540692,-25.016949170924047,-21.31161962316067
BCR,,,
BCV,,,
BDB,7.664027133230919,10.059637226233022,2.2006027859663795
BDG,13.77246139325829,32.296018704810926,7.467204389709122
BDT,8.808923624754009,17.921199678360416,17.636402926585767
BDW,6.055500455613629,14.214800915230105,11.192397703305712
BED,14.351947957122304,17.85144503932679,9.807679091870963
BEL,6.982572522365542,8.051875264621595,26.293692552586233
BFC,5.428728952124133,13.7452605635618,3.062526084076657
BGE,,,
BGT,,,
BGW,4.207705858257041,5.061804351430424,6.336555457040281
BHA,3.2611726729572146,8.848600452298406,20.269799672316648
BHC,2.154315132987367,-1.392975406414348,8.091094929955593
BHG,0.4154765493057012,0.6783481885581849,0.8955565224811384
